name,value
2004 Q1,0.7
2004 Q2,0.4
2004 Q3,0.1
2004 Q4,0.7
2005 Q1,0.8
2005 Q2,1.3
2005 Q3,1
2005 Q4,1.3
2006 Q1,0.4
2006 Q2,0.3
2006 Q3,0.2
2006 Q4,0.8
2007 Q1,1
2007 Q2,1.3
2007 Q3,1.2
2007 Q4,0.1
2008 Q1,0.1
2008 Q2,-0.9
2008 Q3,-1.4
2008 Q4,-2.1
2009 Q1,-2.5
2009 Q2,-0.4
2009 Q3,0
2009 Q4,0.4
2010 Q1,0.5
2010 Q2,1
2010 Q3,0.4
2010 Q4,-0.2
2011 Q1,0.5
2011 Q2,0.1
2011 Q3,0.6
2011 Q4,-0.1
2012 Q1,0
2012 Q2,-0.4
2012 Q3,0.8
2012 Q4,-0.2
2013 Q1,0.5
2013 Q2,0.7
2013 Q3,0.8
2013 Q4,0.7
2014 Q1,0.8
